StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders
21689,SILVER VANILLA  FLOWER CANDLE POT,249,905.75,35
21690,SILVER  CANDLEPOT JARDIN ,261,1002.09,79
21691,SILVER VANILLA FLOWER CANDLE POT,254,979.74,72
21692,SILVER LATTICE VANILLA CANDLE POT,498,1891.62,108
21693,SMALL HAMMERED SILVER CANDLEPOT ,576,1744.2900000000002,76
21694,SMALL REGAL  SILVER CANDLEPOT ,273,823.6300000000001,49
21695,SMALL SILVER FLOWER CANDLE POT,363,1144.65,64
21696,SMALL SILVER TRELLIS CANDLEPOT,550,1655.4500000000003,80
21697,SET 5 MINI DOUGHNUT FRIDGE MAGNET ,372,295.08000000000004,7
21698,MOCK LOBSTER FRIDGE MAGNET,243,247.35,73
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,82.44,3
21700,BIG DOUGHNUT FRIDGE MAGNETS,4659,4812.2699999999995,347
21701,No Stock,-82,0.0,1
21701,SET 6 MINI SUSHI SET FRIDGE MAGNETS,-12,-20.28,1
21702,No Stock,-377,0.0,1
21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,2636,918.6800000000001,8
21703,BAG 125g SWIRLY MARBLES,5323,2178.14,278
21704,BAG 250g SWIRLY MARBLES,11463,8800.109999999999,337
21705,BAG 500g SWIRLY MARBLES,1098,1738.59,93
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",889,2829.17,108
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,94,512.28,36
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",779,3096.81,69
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,71,349.23,29
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,376,1245.4,54
21708,FOLDING UMBRELLA CREAM POLKADOT,44,223.02,13
21709,FOLDING UMBRELLA  CHOC/WHITE  SPOT,533,2115.77,49
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,34,173.52,11
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,573,1494.8899999999999,51
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,40,218.88,20
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,262,953.0,28
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,19,109.71000000000001,9
21713,CITRONELLA CANDLE FLOWERPOT,1876,3217.37,251
21714,CITRONELLA CANDLE GARDEN POT,2617,3172.91,305
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,2201,5440.88,261
21716,BOYS VINTAGE TIN SEASIDE BUCKET,2307,5612.92,259
21717,EASTER TIN BUCKET,1145,3092.66,138
21718,RED METAL BEACH SPADE ,2502,3095.68,245
21719,LOVELY BONBON STICKER SHEET,597,537.92,91
21720,CAKE SHOP  STICKER SHEET,1013,883.06,107
21721,CANDY SHOP  STICKER SHEET,943,861.56,121
21722,SWEET PUDDING STICKER SHEET,263,246.54999999999998,49
21723,ALPHABET HEARTS STICKER SHEET,498,446.13,82
21724,PANDA AND BUNNIES STICKER SHEET,628,568.9399999999999,106
21725,SWEETIES  STICKERS,856,785.18,131
21726,MULTI HEARTS  STICKERS,875,757.67,120
21728,METAL MEDINA LANTERN ,298,2773.11,42
21729,SMALL MARAKESH METAL  LANTERN ,124,422.9,30
21730,GLASS STAR FROSTED T-LIGHT HOLDER,736,3635.26,204
21731,RED TOADSTOOL LED NIGHT LIGHT,14902,24430.109999999997,732
21732,RED HANGING METAL STAR TLIGHT HLDR,930,3234.04,60
21733,85123a mixed,-96,0.0,1
21733,RED HANGING HEART T-LIGHT HOLDER,9750,27375.98,1088
21734,SMALL MARAKESH LANTERN ON STICK,92,510.74,32
21735,Damages,-143,0.0,1
21735,TWO DOOR CURIO CABINET,484,6773.049999999999,209
21735,broken glass,-53,0.0,1
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,125,281.67,22
21737,SET 3 WICKER LOG BASKETS,400,7402.5599999999995,164
21738,COSY SLIPPER SHOES SMALL  RED ,398,1251.8300000000002,119
21739,COSY SLIPPER SHOES SMALL GREEN,254,790.07,71
21740,COSY SLIPPER SHOES LARGE RED,204,706.86,66
21741,COSY SLIPPER SHOES LARGE GREEN,591,1929.0500000000002,156
21742,LARGE ROUND WICKER PLATTER ,247,1510.27,104
21743,STAR PORTABLE TABLE LIGHT ,1097,3171.4700000000003,150
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,394,1225.1000000000001,98
21745,GAOLERS KEYS DECORATIVE GARDEN ,1784,5796.84,279
21746,SMALL RED RETROSPOT WINDMILL,2024,2571.25,194
21746,SMALL RED SPOT  WINDMILL,828,1086.44,77
21747,SMALL SKULL WINDMILL,1451,1686.01,101
21749,LARGE RED RETROSPOT WINDMILL,29,225.9100000000001,100
21749,LARGE RED SPOT WINDMILL,2933,5529.72,53
21749,MIA,-235,0.0,1
21750, LARGE SKULL WINDMILL,8,16.8,2
21750,LARGE SKULL WINDMILL,213,450.07000000000005,38
21752,GLASS CAKE STAND MIRRORED BASE,71,1155.11,43
21752,lost in space,-53,0.0,1
21754,HOME BUILDING BLOCK WORD,5048,30916.72,1341
21755,LOVE BUILDING BLOCK WORD,3695,22801.530000000002,1103
21756,BATH BUILDING BLOCK WORD,844,5204.0,329
21757,LIGHTHOUSE PRINTED METAL SIGN,74,424.6,39
21758,VINTAGE SHELLS PRINT,88,680.46,50
21759,METAL WALL SHELF UNIT WITH HOOKS,30,1274.47,13
21760,FRENCH STYLE WALL DRESSER,13,1490.0,14
21760,damaged,-1,0.0,1
21760,used for show display,-3,0.0,1
21761,WOOD AND GLASS MEDICINE CABINET,56,1545.2,17
21763,VINTAGE WOODEN BAR STOOL,34,906.3,15
21764,VINTAGE WOODEN PLATE RACK,16,619.2,12
21764,display stands,-3,0.0,1
21765,HANGING METAL BIRD BATH,373,3089.14,146
21766,VINTAGE WOOD ORGANISER,-2,-33.9,1
21767,FRENCH STYLE WIRE DOOR CABINET ,1,29.95,1
21768,WALL MOUNTED VINTAGE ORGANISER,508,6896.34,165
21769,VINTAGE POST OFFICE CABINET,119,7635.07,52
21770,OPEN CLOSED METAL SIGN,1313,6710.570000000001,266
21770,debenhams,70,0.0,1
21772,VINTAGE METAL CAKE STAND CREAM ,1,12.75,1
21773,DECORATIVE ROSE BATHROOM BOTTLE,470,754.0699999999999,155
21774,DECORATIVE CATS BATHROOM BOTTLE,653,1048.86,193
21775,DECORATIVE FLORE BATHROOM BOTTLE,367,629.51,144
21777,RECIPE BOX WITH METAL HEART,1120,9027.81,376
21779,MA CAMPAGNE MINI WOODEN CHEST,291,1062.75,25
21780,MA CAMPAGNE 4 DRAWER WALL SHELF,203,1745.85,32
21781,MA CAMPAGNE CUTLERY BOX,478,7355.7699999999995,279
21784,SHOE SHINE BOX ,240,2974.8599999999997,144
21785,RAIN PONCHO ,1604,1255.18,98
21786,POLKADOT RAIN HAT ,1400,585.46,84
21786,RAIN HAT WITH RED SPOTS,4413,1669.72,158
21787,RAIN PONCHO RETROSPOT,1586,1235.69,74
21787,RAIN PONCHO WITH RED SPOTS,4728,3593.82,161
21788,KIDS RAIN MAC BLUE,2056,1673.75,125
21789,KIDS RAIN MAC PINK,1950,1596.79,132
21790,VINTAGE SNAP CARDS,13296,11489.22,1010
21791,VINTAGE HEADS AND TAILS CARD GAME ,9659,12346.33,753
21792,CLASSIC FRENCH STYLE BASKET GREEN ,150,1026.98,70
21793,CLASSIC FRENCH STYLE BASKET BROWN,49,330.75,28
21794,CLASSIC FRENCH STYLE BASKET NATURAL,184,1305.06,78
21795,SET OF 3 BLUE STRIPE BASKET,440,3722.1900000000005,81
21796,SET OF 3 RED STRIPE BASKETS,324,2782.19,67
21801,CHRISTMAS TREE DECORATION WITH BELL,2538,1103.57,149
21802,CHRISTMAS TREE HEART DECORATION,2613,1150.12,160
21803,CHRISTMAS TREE STAR DECORATION,2463,1073.6599999999999,142
21804,WHITE CHRISTMAS GARLAND STARS TREES,393,1501.32,79
21805,WHITE CHRISTMAS TREE DECORATION ,2221,957.63,103
21806,WHITE CHRISTMAS HEART DECORATION,2717,1183.6299999999999,128
21807,WHITE CHRISTMAS STAR DECORATION,2992,1321.27,152
21808,"CHRISTMAS GARLAND STARS,TREES",789,1975.2,102
21809,CHRISTMAS HANGING TREE WITH BELL,1084,1365.08,98
21810,CHRISTMAS HANGING STAR WITH BELL,1169,1473.97,104
21811,CHRISTMAS HANGING HEART WITH BELL,1607,2054.89,153
21812,GARLAND WITH HEARTS AND BELLS,429,2276.25,114
21813,GARLAND WITH STARS AND BELLS,285,1637.63,87
21814,HEART T-LIGHT HOLDER ,613,930.9399999999999,83
21815, STAR  T-LIGHT HOLDER ,24,41.16,9
21815,STAR  T-LIGHT HOLDER ,565,871.93,65
21816,CHRISTMAS TREE T-LIGHT HOLDER,391,592.39,45
21817,GLITTER CHRISTMAS TREE,860,733.43,79
21818,GLITTER CHRISTMAS HEART ,1694,1428.79,131
21819,GLITTER CHRISTMAS STAR ,1465,1256.1,129
21820,GLITTER HEART GARLAND WITH BELLS ,504,1918.03,99
21821,GLITTER STAR GARLAND WITH BELLS ,484,1943.01,101
21822,GLITTER CHRISTMAS TREE WITH BELLS,386,770.9599999999999,50
21823,PAINTED METAL HEART WITH HOLLY BELL,1090,1590.79,123
21824,PAINTED METAL STAR WITH HOLLY BELLS,886,1279.57,99
21825,PAINTED METAL TREE WITH HOLLY BELLS,734,1054.6399999999999,76
21826,EIGHT PIECE DINOSAUR SET,1652,2125.56,222
21827,EIGHT PIECE CREEPY CRAWLIE SET,824,1055.14,134
21828,EIGHT PIECE SNAKE  SET,785,980.89,102
21829,DINOSAUR KEYRINGS ASSORTED,8215,1776.49,244
21830,ASSORTED CREEPY CRAWLIES,4802,2016.11,174
21832,CHOCOLATE CALCULATOR,2462,4206.139999999999,281
21833,CAMOUFLAGE LED TORCH,3677,6377.26,298
21836,GINGHAM OVEN GLOVE RED HEART ,244,985.14,100
21837,CROSS STITCH ALPHABET CUSHION COVER,243,1616.69,92
21838,DADDY MOUSE RED GINGHAM BOW TIE,1,5.45,1
21839,MUMMY MOUSE RED GINGHAM RIBBON,201,1085.5900000000001,83
21841,BABY MOUSE RED GINGHAM DRESS,364,1547.22,112
21842,PINK HEART CANDY BUTTON CALCULATOR,551,1308.74,47
21843,RED RETROSPOT CAKE STAND,2576,26726.44,754
21843,RETRO SPOT CAKE STAND,1425,15607.409999999998,388
21843,broken,-10,0.0,1
21843,damaged,-36,0.0,2
21844,RED RETROSPOT MUG,2094,5984.02,201
21844,RETRO SPOT MUG,1473,4319.410000000001,161
21845,DAIRY MAID STRIPE MUG,621,2055.81,81
21846,PINK DIAMANTE PEN IN GIFT BOX,1210,2707.98,172
21847,GREEN  DIAMANTE PEN IN GIFT BOX,272,500.69,39
21849,SILVER DIAMANTE PEN IN GIFT BOX,389,933.15,75
21850,BLUE  DIAMANTE PEN IN GIFT BOX,330,639.07,59
21851,LILAC DIAMANTE PEN IN GIFT BOX,504,1094.58,95
21852,EMPIRE TEDDY,2,13.9,2
21853,GUMBALL CUSTOM CARS TOP TRUMPS GAME,3,15.399999999999999,3
21854,EURO FOOTBALL STARS TOP TRUMPS GAME,1,5.17,1
21857,STAR WARS TOP TRUMPS GAME,2,10.23,2
21858,HIGH SCHOOL MUSICAL 3 TOP TRUMPS ,2,10.23,2
21858,dirty,-1,0.0,1
21860,DR WHO TOP TRUMPS GAME,1,5.17,1
21864,UNION JACK FLAG PASSPORT COVER ,1116,2606.29,238
21865,PINK UNION JACK  PASSPORT COVER ,628,1477.23,198
21866,UNION JACK FLAG LUGGAGE TAG,1452,2376.2599999999998,274
21867,PINK UNION JACK  LUGGAGE TAG,829,1125.1299999999999,176
21868,POTTING SHED TEA MUG,6654,7995.49,618
21869,POTTING SHED COFFEE MUG,1250,1452.0800000000002,115
21870,I CAN ONLY PLEASE ONE PERSON MUG,4912,6075.32,509
21871,SAVE THE PLANET MUG,6122,7122.2,465
21872,GLAMOROUS  MUG,3810,3729.76,197
21873,IF YOU CAN'T STAND THE HEAT MUG,458,610.32,87
21874,GIN AND TONIC MUG,3501,4293.16,352
21875,KINGS CHOICE MUG,4762,5477.66,282
21876,POTTERING MUG,1889,2584.98,317
21877,HOME SWEET HOME MUG,8735,9141.19,429
21877,damages,-190,0.0,1
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2664,2128.98,183
21879,HEARTS GIFT TAPE,401,287.89,62
21880,RED AND WHITE SPOT TAPE,471,353.13,72
21880,RED RETROSPOT TAPE,133,94.53,23
21881,CUTE CATS TAPE,243,180.29000000000002,41
21882,SKULLS TAPE,358,255.78000000000003,53
21883,STARS GIFT TAPE ,761,518.98,99
21884,CAKES AND BOWS GIFT  TAPE,289,259.45,73
21888,BINGO SET,1812,7182.05,480
21889,WOODEN BOX OF DOMINOES,6700,8612.78,584
21890,S/6 WOODEN SKITTLES IN COTTON BAG,2392,6951.64,342
21891,TRADITIONAL WOODEN SKIPPING ROPE,4092,5168.15,445
21892,TRADITIONAL WOODEN CATCH CUP GAME ,4735,5996.91,441
21893,POTTING SHED SEED TIN,172,587.8,20
21894,POTTING SHED SEED ENVELOPES,755,977.89,125
21895,POTTING SHED SOW 'N' GROW SET,551,1701.63,86
21896,POTTING SHED TWINE,1420,2713.32,187
21897,POTTING SHED CANDLE CITRONELLA,462,1376.1200000000001,105
21898,POTTING SHED ROSE CANDLE,336,1003.6000000000001,88
21899,"KEY FOB , GARAGE DESIGN",4096,2634.9100000000003,359
21900,?,1520,0.0,1
21900,"KEY FOB , SHED",5239,3430.98,478
21900,reverse mistake,-1520,0.0,1
21901,"KEY FOB , BACK DOOR ",4324,2784.77,397
21902,"KEY FOB , FRONT  DOOR ",3434,2170.7200000000003,274
21903,MAN FLU METAL SIGN,2311,4518.06,245
21904,HOUSE WRECKING METAL SIGN ,616,929.4200000000001,127
21905,MORE BUTTER METAL SIGN ,861,1332.06,108
21906,PHARMACIE FIRST AID TIN,1215,8557.99,268
21907,I'M ON HOLIDAY METAL SIGN,2883,6020.250000000001,418
21908,CHOCOLATE THIS WAY METAL SIGN,6086,11765.090000000002,528
21910,WAY OUT METAL SIGN ,1031,1340.4299999999998,104
21911,GARDEN METAL SIGN ,2455,3922.43,322
21912,VINTAGE SNAKES & LADDERS,1935,7620.79,455
21913,VINTAGE SEASIDE JIGSAW PUZZLES,758,2861.12,161
21914,BLUE HARMONICA IN BOX ,5324,7719.54,394
21915,Mixed with blue,-390,0.0,1
21915,RED  HARMONICA IN BOX ,15437,17564.97,403
21916,SET 12 RETRO WHITE CHALK STICKS,6353,2757.44,374
21917,SET 12 KIDS  WHITE CHALK STICKS,3918,1650.94,255
21918,SET 12 KIDS COLOUR  CHALK STICKS,7520,3122.23,445
21919,Electronic Talking Breath-A-Loser,6,30.47,5
21922,UNION STRIPE WITH FRINGE  HAMMOCK,527,4154.860000000001,190
21923,RED/CREAM STRIPE FRINGE HAMMOCK,337,2662.6400000000003,121
21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,305,2407.1600000000003,126
21925,UNION STRIPE CUSHION COVER ,802,1063.58,104
21926,RED/CREAM STRIPE CUSHION COVER ,585,802.87,88
21927,BLUE/CREAM STRIPE CUSHION COVER ,635,954.59,98
21928,JUMBO BAG SCANDINAVIAN PAISLEY,14280,25889.12,769
21929,?,-420,0.0,1
21929,JUMBO BAG PINK VINTAGE PAISLEY,14897,27056.06,783
21930,JUMBO STORAGE BAG SKULLS,7204,13887.16,645
21931,JUMBO STORAGE BAG SUKI,15795,31406.86,1197
21932,SCANDINAVIAN PAISLEY PICNIC BAG,1164,3544.54,210
21933,PINK VINTAGE PAISLEY PICNIC BAG,1467,4203.97,226
21934,SKULL SHOULDER BAG,2176,3838.54,327
21935,SUKI  SHOULDER BAG,3686,6860.7,420
21936,RED RETROSPOT PICNIC BAG,2647,7815.61,423
21936,RED/WHITE SPOT PICNIC BAG,1112,3126.24,114
21937,STRAWBERRY   PICNIC BAG,2373,7094.81,422
21942,SKULLS DESIGN FLANNEL,1390,841.29,131
21943,CAKES AND RABBITS DESIGN FLANNEL ,474,397.99,101
21944,KITTENS DESIGN FLANNEL,1459,808.25,110
21945,STRAWBERRIES  DESIGN FLANNEL ,1544,981.53,147
21946,PARTY TIME DESIGN FLANNEL,539,283.62,42
21947,SET OF 6 HEART CHOPSTICKS,898,1209.44,151
21948,SET OF 6 CAKE CHOPSTICKS,1669,1973.21,123
21949,SET OF 6 STRAWBERRY CHOPSTICKS,1829,2162.34,137
21950,SET OF 6 DOTS CHOPSTICKS,30,71.57999999999998,20
21955,  DOORMAT UNION JACK GUNS AND ROSES,179,1206.81,60
21955,DOOR MAT UNION JACK GUNS AND ROSES,798,5446.4800000000005,232
21955,DOORMAT UNION JACK GUNS AND ROSES,956,5610.22,151
21955,UNION JACK GUNS & ROSES  DOORMAT,764,3980.36,103
21967,MIA,-512,0.0,1
21967,PACK OF 12 SKULL TISSUES,10642,2901.1,270
21972,SET OF 36 DINOSAUR PAPER DOILIES,721,1063.1899999999998,106
21973,SET OF 36 MUSHROOM PAPER DOILIES,1505,2180.7799999999997,182
21974,SET OF 36 PAISLEY FLOWER DOILIES,4761,6997.7,459
21975,PACK OF 60 DINOSAUR CAKE CASES,19187,9237.64,716
21976,PACK OF 60 MUSHROOM CAKE CASES,9562,5044.780000000001,572
21977,PACK OF 60 PINK PAISLEY CAKE CASES,31822,16184.210000000001,1160
21980,PACK OF 12 RED RETROSPOT TISSUES ,2081,592.89,125
21980,PACK OF 12 RED SPOTTY TISSUES ,22699,5975.43,272
21981,PACK OF 12 WOODLAND TISSUES ,20966,5551.54,299
21982,PACK OF 12 SUKI TISSUES ,25179,8274.77,384
21983,PACK OF 12 BLUE PAISLEY TISSUES ,3926,1133.9999999999998,182
21984,PACK OF 12 PINK PAISLEY TISSUES ,21928,5929.26,237
21985,PACK OF 12 HEARTS DESIGN TISSUES ,16797,6264.009999999999,514
21986,PACK OF 12 PINK POLKADOT TISSUES,1144,414.33,92
21986,PACK OF 12 PINK SPOT TISSUES ,8301,3189.55,198
21987,PACK OF 6 SKULL PAPER CUPS,4037,2525.46,218
21988,PACK OF 6 SKULL PAPER PLATES,4958,3617.29,227
21989,PACK OF 20 SKULL PAPER NAPKINS,5548,4177.79,326
21990,MODERN FLORAL STATIONERY SET,821,1765.78,144
21991,BOHEMIAN COLLAGE STATIONERY SET,483,885.25,87
21992,VINTAGE PAISLEY STATIONERY SET,1518,3492.45,239
21993,FLORAL FOLK STATIONERY SET,964,2003.2,167
22003,VINTAGE BLUE VACUUM FLASK 0.5L ,-10,-67.5,1
22021,BLUE FELT EASTER EGG BASKET,1062,1842.9599999999998,164
22023,EMPIRE BIRTHDAY CARD,3894,1592.7,291
22024,RAINY LADIES BIRTHDAY CARD,3024,1250.94,236
22025,RING OF ROSES BIRTHDAY CARD,2164,894.92,160
22026,BANQUET BIRTHDAY  CARD  ,2410,1016.32,209
22027,TEA PARTY BIRTHDAY CARD,7007,2968.12,498
22028,PENNY FARTHING BIRTHDAY CARD,3342,1379.51,252
22029,SPACE BOY BIRTHDAY CARD,835,354.16,67
22029,SPACEBOY BIRTHDAY CARD,8827,3634.0,523
22030,SWALLOWS GREETING CARD,7388,3035.55,421
22031,BOTANICAL LAVENDER BIRTHDAY CARD,633,273.44,63
22032,BOTANICAL LILY GREETING CARD,553,236.14,51
22033,BOTANICAL ROSE GREETING CARD,1278,545.02,106
22033,counted,-80,0.0,1
22034,ROBIN CHRISTMAS CARD,1634,679.81,92
22035,VINTAGE CARAVAN GREETING CARD ,2596,1100.08,228
22036,DINOSAUR BIRTHDAY CARD,1608,677.89,137
22037,ROBOT BIRTHDAY CARD,3203,1375.72,293
22037,found again,50,0.0,1
22038,BOTANICAL LAVENDER GIFT WRAP ,675,281.5,26
22039,BOTANICAL LILY GIFT WRAP,600,248.0,23
22040,BOTANICAL ROSE GIFT WRAP,2090,839.8,66
22041,"RECORD FRAME 7"" SINGLE SIZE ",3483,8006.700000000001,212
22042,CHRISTMAS CARD SINGING ANGEL,1418,492.23,99
22043,CHRISTMAS CARD SCREEN PRINT ,990,325.38,66
22044,CHRISTMAS CARD STACK OF PRESENTS,1177,373.58,59
22045,SPACE BOY GIFT WRAP,775,325.5,27
22045,SPACEBOY GIFT WRAP,7310,3012.2,244
22046,TEA PARTY  WRAPPING PAPER ,4125,1684.5,133
22047,EMPIRE GIFT WRAP,4650,1899.0,157
22048,BIRTHDAY BANQUET GIFT WRAP,1865,783.3,71
22049,WRAP CHRISTMAS SCREEN PRINT,2525,750.0,84
22050,PINK PAISLEY ROSE GIFT WRAP,2075,855.5,77
22051,BLUE SCANDINAVIAN PAISLEY WRAP,2225,918.5,78
22052,VINTAGE CARAVAN GIFT WRAP,2950,1219.0,104
22053,EMPIRE DESIGN ROSETTE,308,415.71999999999997,60
22054,MINI CAKE STAND HANGING HEARTS,349,635.2099999999999,78
22055,MINI CAKE STAND  HANGING STRAWBERY,3540,6080.5,516
22056,CERAMIC PLATE LOVE HEART DESIGN,610,661.34,35
22057,CERAMIC PLATE STRAWBERRY DESIGN,2463,3324.44,208
22057,smashed,-23,0.0,1
22058,CERAMIC LOVE HEARTS DESIGN MUG,520,795.72,106
22058,damaged?,-191,0.0,1
22059,CERAMIC STRAWBERRY DESIGN MUG,922,1322.76,82
22059,CERAMIC STRWBERRY DESIGN MUG,2331,3369.2599999999998,225
22060,LARGE CAKE STAND HANGING HEARTS,494,4500.76,131
22061,LARGE CAKE STAND  HANGING STRAWBERY,1507,14152.66,428
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,180,576.19,54
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1727,5009.66,242
22064,PINK DOUGHNUT TRINKET POT ,4875,8070.259999999999,489
22065,CHRISTMAS PUDDING TRINKET POT ,2012,2999.41,240
22066,LOVE HEART TRINKET POT,1198,1685.8,141
22067,CHOC TRUFFLE GOLD TRINKET POT ,1479,2436.9199999999996,195
22068, BLACK PIRATE TREASURE CHEST,57,111.78,22
22068,BLACK PIRATE TREASURE CHEST,550,1062.54,121
22069, BROWN  PIRATE TREASURE CHEST ,59,138.22,23
22069,BROWN  PIRATE TREASURE CHEST ,511,1090.06,107
22070,SMALL RED RETROSPOT MUG IN BOX ,574,2149.8,127
22070,SMALL RETRO SPOT MUG IN BOX  RED,287,1122.79,88
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,365,1376.63,84
22071,SMALL WHITE RETROSPOT MUG IN BOX ,434,1609.32,98
22072,RED RETROSPOT TEA CUP AND SAUCER ,903,3726.0,231
22072,TEA CUP AND SAUCER RETRO SPOT,690,2828.84,145
22073,RED RETROSPOT STORAGE JAR,1084,4330.92,274
22073,RETRO SPOT STORAGE JAR,727,2845.79,165
22074,6 RIBBONS SHIMMERING PINKS ,762,989.8699999999999,92
22075,6 RIBBONS ELEGANT CHRISTMAS ,1584,2619.6,176
22076,6 RIBBONS EMPIRE  ,1132,1872.8999999999999,161
22077,6 RIBBONS RUSTIC CHARM,8296,14859.72,846
22077,found,24,0.0,1
22078,RIBBON REEL LACE DESIGN ,2625,5551.95,299
22079,RIBBON REEL HEARTS DESIGN ,3138,5153.5,371
22080,?,-283,0.0,1
22080,RIBBON REEL POLKADOTS ,546,973.47,97
22080,RIBBON REEL SPOTS DESIGN ,2189,3632.28,279
22081,RIBBON REEL FLORA + FAUNA ,899,1579.51,176
22082,RIBBON REEL STRIPES DESIGN ,4811,7948.49,580
22083,PAPER CHAIN KIT RETRO SPOT,7122,19963.64,597
22083,PAPER CHAIN KIT RETROSPOT,1755,6020.530000000001,239
22084,PAPER CHAIN KIT EMPIRE,3620,10178.91,391
22085,PAPER CHAIN KIT SKULLS ,1413,3838.73,139
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,17083,57870.2,964
22087,PAPER BUNTING WHITE LACE,4360,13428.34,534
22088,PAPER BUNTING COLOURED LACE,2497,7399.4400000000005,389
22089,PAPER BUNTING VINTAGE PAISLEY,2031,5701.530000000001,285
22090,PAPER BUNTING RETRO SPOTS,7878,23872.64,786
22090,PAPER BUNTING RETROSPOT,941,2995.7500000000005,136
22091,EMPIRE TISSUE BOX,1163,1422.07,167
22092,BLUE PAISLEY TISSUE BOX,292,307.76,53
22093,MOTORING TISSUE BOX,505,602.09,121
22094,RED POLKA DOT TISSUE BOX,976,1191.14,110
22094,RED RETROSPOT TISSUE BOX,423,335.43,39
22095,LADS ONLY TISSUE BOX,1631,1918.39,165
22096,PINK PAISLEY SQUARE TISSUE BOX ,295,349.79,68
22097,SWALLOW SQUARE TISSUE BOX,481,566.87,104
22098,BOUDOIR SQUARE TISSUE BOX,902,996.8199999999999,149
22099,CARAVAN SQUARE TISSUE BOX,691,797.39,146
22100,SKULLS SQUARE TISSUE BOX,264,378.48,78
22101,MIRROR MOSAIC VOTIVE HOLDER,495,792.01,52
22102,MIRROR MOSAIC T-LIGHT HOLDER ,228,373.04999999999995,29
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,503,860.65,46
22104,MIRROR MOSAIC CANDLE PLATE,903,631.01,42
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,118,446.84000000000003,24
22106,MIRROR MOSAIC HURRICANE LAMP ,166,721.96,36
22107,PIZZA PLATE IN BOX,612,2637.49,216
22108,PING! MICROWAVE PLATE,164,572.17,71
22109,FULL ENGLISH BREAKFAST PLATE,1750,7130.91,381
22110,BIRD HOUSE HOT WATER BOTTLE,1573,4344.08,257
22111,SCOTTIE DOG HOT WATER BOTTLE,5464,27290.27,1002
22112,CHOCOLATE HOT WATER BOTTLE,5503,27758.34,933
22113,GREY HEART HOT WATER BOTTLE,2823,10349.94,484
22114,HOT WATER BOTTLE TEA AND SYMPATHY,6577,30030.06,1024
22115,METAL SIGN EMPIRE TEA,1363,3762.76,281
22116,METAL SIGN HIS DINNER IS SERVED,254,507.08000000000004,55
22117,METAL SIGN HER DINNER IS SERVED ,448,1323.0900000000001,140
22118,JOY WOODEN BLOCK LETTERS,589,3073.4900000000002,194
22119, PEACE WOODEN BLOCK LETTERS,137,952.74,49
22119,PEACE WOODEN BLOCK LETTERS,444,3064.76,199
22120,WELCOME  WOODEN BLOCK LETTERS,497,5098.88,188
22121,NOEL WOODEN BLOCK LETTERS ,1179,7328.9800000000005,329
22122,SET OF 2 FANCY FONT TEA TOWELS,1097,3295.9800000000005,191
22123,PING MICROWAVE APRON,128,517.82,49
22124,SET OF 2 TEA TOWELS PING MICROWAVE,153,455.81000000000006,58
22125,UNION JACK HOT WATER BOTTLE ,582,3664.13,183
22126,given away,-10000,0.0,2
22127,PARTY CONES CARNIVAL ASSORTED,2996,3563.42,140
22128,PARTY CONES CANDY ASSORTED,2251,2744.56,123
22129,PARTY CONES CANDY TREE DECORATION,2046,1858.5,76
22130,PARTY CONE CHRISTMAS DECORATION ,7513,8489.539999999999,343
22130,sold in wrong qnty,-800,0.0,1
22131,FOOD CONTAINER SET 3 LOVE HEART ,3263,6091.15,418
22132,RED LOVE HEART SHAPE CUP,2323,2072.48,241
22133,PINK LOVE HEART SHAPE CUP,1680,1523.1799999999998,205
22134,LADLE LOVE HEART RED ,1472,633.11,144
22135,LADLE LOVE HEART PINK,1070,496.96999999999997,152
22136,LOVE HEART SOCK HANGER,1619,2664.89,189
22137,BATHROOM SET LOVE HEART DESIGN,522,1264.4,32
22138,BAKING SET 9 PIECE RETROSPOT ,3640,17964.79,1164
22138,damages,-135,0.0,1
22138,mouldy,-2000,0.0,1
22139,11 PC CERAMIC TEA SET POLKADOT,3,14.850000000000001,1
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4037,19565.99,800
